Date,Open,High,Low,Close,Volume
02-01-20,9039.46,9093.4297,9010.8896,9092.1904,2588856610
03-01-20,8976.4297,9065.7598,8976.4297,9020.7695,2308921625
06-01-20,8943.5,9072.4102,8943.5,9071.46,2511372496
07-01-20,9076.6396,9091.9297,9042.5498,9068.5801,2118475416
08-01-20,9068.0303,9168.8896,9059.3799,9129.2402,2159707900
09-01-20,9202.2695,9215.9502,9158.5,9203.4297,2250015361
10-01-20,9232.9404,9235.2002,9164.6602,9178.8604,2117910517
13-01-20,9213.7197,9274.4902,9193.0596,9273.9297,2329273890
14-01-20,9270.6104,9298.3301,9226.4902,9251.3301,2243066020
15-01-20,9253.7598,9298.8203,9231.1396,9258.7002,2158594620
16-01-20,9313.4502,9357.9199,9301.3203,9357.1299,2087594985
17-01-20,9392.3701,9393.4805,9346.8096,9388.9404,2293589352
21-01-20,9361.0703,9397.5801,9350.2002,9370.8096,2437343747
22-01-20,9413.6104,9439.29,9375.1299,9383.7695,2236265594
23-01-20,9377.7197,9409.2002,9334.1299,9402.4805,2201075899
24-01-20,9446.21,9451.4297,9273.2305,9314.9102,2355099056
27-01-20,9092.46,9185.4502,9088.04,9139.3096,2297256475
28-01-20,9201.8203,9288.8701,9182.3301,9269.6797,1896953861
29-01-20,9318.2598,9329.1104,9249.04,9275.1602,2019237967
30-01-20,9211.1504,9303.0,9185.1797,9298.9297,2077686756
31-01-20,9324.3203,9324.7998,9123.2197,9150.9404,2308237692
03-02-20,9190.7197,9299.8496,9188.5498,9273.4004,2152365673
04-02-20,9398.3896,9485.3799,9374.0498,9467.9697,2176071900
05-02-20,9574.0996,9574.9404,9454.9297,9508.6797,2193804540
06-02-20,9540.9805,9575.6602,9505.6797,9572.1504,2055039663
07-02-20,9526.6396,9570.0898,9496.5303,9520.5098,1996266809
10-02-20,9493.6299,9628.6602,9493.6299,9628.3896,1984969233
11-02-20,9680.8896,9714.7402,9617.21,9638.9404,2184238720
12-02-20,9688.5996,9728.7695,9666.6797,9725.96,2150730056
13-02-20,9657.04,9748.3203,9650.0195,9711.9697,2021870469
14-02-20,9728.9004,9746.3604,9693.0498,9731.1797,2030505301
18-02-20,9679.04,9747.6797,9675.7998,9732.7402,1715626559
19-02-20,9782.8096,9838.3701,9777.0996,9817.1797,1917313119
20-02-20,9799.2002,9820.8604,9636.9404,9750.96,2112223776
21-02-20,9708.0098,9715.9502,9542.3301,9576.5898,2014190490
24-02-20,9188.4404,9322.8799,9166.0098,9221.2803,2312228602
25-02-20,9301.2002,9315.2598,8940.4902,8965.6104,2556803756
26-02-20,9011.5498,9148.3203,8927.7998,8980.7695,2636065150
27-02-20,8744.0303,8904.1104,8562.0498,8566.4805,3254802620
28-02-20,8269.7402,8591.8203,8264.1602,8567.3701,4474012055
02-03-20,8667.1396,8952.8096,8543.3496,8952.1699,2945897641
03-03-20,8965.0996,9070.3203,8602.8896,8684.0898,3113620611
04-03-20,8834.0996,9019.96,8757.6602,9018.0898,2622631820
05-03-20,8790.0898,8921.0801,8677.3896,8738.5898,2753853548
06-03-20,8469.0195,8612.3604,8375.1299,8575.6201,3039255159
09-03-20,7957.9302,8243.3096,7943.1602,7950.6802,3849983444
10-03-20,8219.7598,8347.4004,7930.4302,8344.25,3492482356
11-03-20,8136.25,8181.3599,7850.9502,7952.0498,3721736085
12-03-20,7398.5801,7712.3301,7194.6699,7201.7998,3695423389
13-03-20,7610.3901,7875.9302,7219.0898,7874.23,2974398191
16-03-20,7392.73,7422.2002,6882.8599,6904.5898,3248998844
17-03-20,7072.0,7406.23,6828.9102,7334.7798,3328005132
18-03-20,6902.3198,7182.8301,6686.3599,6989.8398,3443176818
19-03-20,6996.4502,7341.3799,6858.3799,7150.5801,3178510509
20-03-20,7248.0698,7354.4399,6854.6699,6879.52,3367679593
23-03-20,6847.2798,6984.9399,6631.4199,6860.6699,3566030510
24-03-20,7196.1499,7418.3701,7169.8599,7417.8599,3089462458
25-03-20,7421.3599,7671.21,7276.3999,7384.29,3396157831
26-03-20,7462.21,7809.8198,7462.21,7797.54,2761530117
27-03-20,7554.25,7716.2402,7491.1299,7502.3799,3078987995
30-03-20,7583.46,7784.3501,7539.9702,7774.1499,3336016979
31-03-20,7740.0601,7880.3101,7642.8599,7700.1001,3499735669
01-04-20,7459.5,7566.3701,7301.98,7360.5801,3184593229
02-04-20,7317.4502,7501.7002,7307.9502,7487.3101,2608400346
03-04-20,7477.27,7518.7202,7288.1099,7373.0801,2834816456
06-04-20,7660.1699,7938.3301,7617.79,7913.2402,3367140557
07-04-20,8129.9902,8146.4302,7881.2202,7887.2598,3186023417
08-04-20,7975.7202,8114.4302,7901.9399,8090.8999,2508938367
09-04-20,8169.0098,8227.9102,8072.3198,8153.5801,2812017223
13-04-20,8127.6899,8200.4404,8035.9502,8192.4199,2731208903
14-04-20,8353.21,8531.1104,8338.0801,8515.7402,3245309552
15-04-20,8355.96,8464.6602,8308.79,8393.1797,2929498899
16-04-20,8479.1104,8560.1602,8393.2695,8532.3604,3538745289
17-04-20,8667.4805,8670.2998,8531.6904,8650.1396,3872099160
20-04-20,8553.3799,8684.9102,8553.3799,8560.7305,3413639910
21-04-20,8460.6904,8480.29,8215.6904,8263.2305,3309824527
22-04-20,8434.5498,8536.2305,8404.54,8495.3799,2709164450
23-04-20,8528.8398,8635.2197,8475.2002,8494.75,3384696422
24-04-20,8530.0801,8642.9297,8464.4199,8634.5195,3336841607
27-04-20,8717.9805,8754.5703,8697.3701,8730.1602,3324832362
28-04-20,8825.6797,8830.5703,8600.7002,8607.7305,3293678524
29-04-20,8802.7002,8957.2598,8765.0098,8914.71,3962006724
30-04-20,8911.0098,8926.1104,8825.8301,8889.5498,3904511884
01-05-20,8681.29,8754.46,8566.8398,8604.9502,3352082562
04-05-20,8555.3203,8715.8203,8537.8301,8710.71,2714057809
05-05-20,8809.6602,8909.96,8781.3096,8809.1201,3243174495
06-05-20,8874.7002,8933.25,8819.3701,8854.3896,2904513258
07-05-20,8973.7803,9015.9902,8932.8496,8979.6602,3079994465
08-05-20,9056.8896,9125.9805,9018.21,9121.3203,3141547406
11-05-20,9054.9102,9241.9199,9053.1699,9192.3398,3507904995
12-05-20,9225.1396,9250.96,9000.0596,9002.5498,3937751678
13-05-20,9006.04,9074.1602,8752.6797,8863.1699,3521025678
14-05-20,8788.04,8945.71,8705.25,8943.7197,3253635578
15-05-20,8839.9902,9018.4004,8821.3799,9014.5596,3499418942
18-05-20,9177.1504,9267.2197,9154.3496,9234.8301,3977484616
19-05-20,9227.46,9317.25,9183.25,9185.0996,3813437566
20-05-20,9305.6201,9392.8203,9304.2002,9375.7803,3921449158
21-05-20,9375.1904,9405.25,9254.8496,9284.8799,3378207334
22-05-20,9278.5498,9328.2803,9239.4102,9324.5898,3359124661
26-05-20,9501.21,9501.21,9333.1602,9340.2197,4089647838
27-05-20,9346.1201,9414.6201,9144.2803,9412.3604,4034254014
28-05-20,9392.9902,9523.6396,9345.2803,9368.9902,3664725046
29-05-20,9382.3496,9505.5498,9324.7305,9489.8701,4208933830
01-06-20,9471.4199,9571.2803,9462.3203,9552.0498,3483846694
02-06-20,9566.5303,9611.2197,9472.0801,9608.3799,3552532687
03-06-20,9651.8604,9707.7803,9627.1797,9682.9102,4210574842
04-06-20,9649.6504,9716.1396,9560.4102,9615.8096,5603822898
05-06-20,9703.54,9845.6904,9685.3496,9814.0801,6090983236
08-06-20,9823.4404,9927.1201,9780.6104,9924.75,5652085845
09-06-20,9867.1904,10002.5,9863.2695,9953.75,4804943367
10-06-20,10012.2998,10086.9004,9962.5801,10020.2998,4644283696
11-06-20,9791.2402,9868.0801,9491.2998,9492.7305,4662083994
12-06-20,9715.8701,9768.6396,9413.6201,9588.8096,3782469982
15-06-20,9426.9004,9756.0703,9403.0,9726.0195,3981980509
16-06-20,9949.7803,9963.6299,9748.3799,9895.8701,4093850372
17-06-20,9943.3096,9991.21,9891.8096,9910.5303,3863378293
18-06-20,9892.4805,9959.2002,9885.6602,9943.0498,3949245315
19-06-20,10042.0996,10053.9004,9872.9404,9946.1201,5545210874
22-06-20,9945.4902,10059.5996,9916.5996,10056.5,4128942987
23-06-20,10130.7998,10221.7998,10112.4004,10131.4004,5334387191
24-06-20,10092.9004,10137.5,9842.2197,9909.1699,5027580882
25-06-20,9899.3604,10023.2998,9810.4697,10017.0,4214550302
26-06-20,9995.1201,10000.7002,9749.0703,9757.2197,6408225030
29-06-20,9771.7197,9877.3398,9663.6104,9874.1504,3906054633
30-06-20,9875.29,10085.5996,9863.6699,10058.7998,4017120893
01-07-20,10063.7002,10197.2002,10048.0,10154.5996,4141500511
02-07-20,10268.7002,10310.4004,10194.0996,10207.5996,3673840982
06-07-20,10360.4004,10462.0,10355.0,10433.5996,4124345605
07-07-20,10412.5,10519.0,10338.0,10343.9004,3921812992
08-07-20,10409.4004,10494.5996,10351.0,10492.5,3641219706
09-07-20,10563.7002,10578.0996,10379.9004,10547.7998,3601091779
10-07-20,10545.9004,10622.4004,10447.0,10617.4004,3162345112
13-07-20,10729.9004,10824.7998,10368.0,10390.7998,4321819661
14-07-20,10310.25,10497.8301,10182.46,10488.5801,4419480000
15-07-20,10576.7197,10604.6699,10420.54,10550.4902,4610540000
16-07-20,10443.8701,10499.79,10364.3896,10473.8301,4237290000
17-07-20,10500.5195,10532.6201,10421.21,10503.1904,4334280000
20-07-20,10526.0195,10783.7998,10488.04,10767.0898,4274340000
21-07-20,10837.8799,10839.9297,10650.46,10680.3604,5311750000
22-07-20,10687.5801,10745.3203,10627.4502,10706.1299,4074020000
23-07-20,10689.5,10728.0996,10407.9004,10461.4004,3993507901
24-07-20,10294.4004,10418.7002,10217.2998,10363.2002,3743688825
27-07-20,10421.7002,10546.4004,10399.9004,10536.2998,3847060898
28-07-20,10509.2002,10523.5996,10397.9004,10402.0996,3544629651
29-07-20,10474.7002,10567.9004,10464.0,10542.9004,3638577511
30-07-20,10450.0996,10609.5996,10412.0996,10587.7998,3654980117
31-07-20,10741.5,10747.7998,10557.7002,10745.2998,3959395718
03-08-20,10848.5996,10927.5996,10831.2002,10902.7998,3799222602
04-08-20,10897.9004,10941.9004,10852.9004,10941.2002,3641818141
05-08-20,10967.9004,11002.0996,10943.7002,10998.4004,3758430278
06-08-20,10990.0,11121.2002,10963.4004,11108.0996,3717052728
07-08-20,11072.5,11126.0,10920.4004,11011.0,3827844726
10-08-20,11033.7002,11040.2002,10849.5,10968.4004,3645837821
11-08-20,10942.7002,10989.4004,10762.7002,10782.7998,3877093742
12-08-20,10878.0996,11036.7002,10877.2002,11012.2002,3318036057
13-08-20,11026.9004,11124.7998,11007.5,11042.5,3070232474
14-08-20,11042.2002,11058.4004,10972.0996,11019.2998,3151572042
17-08-20,11083.2002,11144.5,11080.2998,11129.7002,2889159270
18-08-20,11170.7998,11230.5996,11103.7998,11210.7998,2944727678
19-08-20,11214.7998,11257.4004,11132.0996,11146.5,3176557157
20-08-20,11096.4004,11283.5996,11090.0,11265.0,3897030299
21-08-20,11258.4004,11326.2002,11245.4004,11311.7998,3598608326
24-08-20,11449.2998,11462.0,11297.5,11379.7002,3605470203
25-08-20,11370.2002,11468.2998,11343.0,11466.5,3197604530
26-08-20,11516.5996,11672.0996,11507.5,11665.0996,3128317307
27-08-20,11688.2002,11730.0,11551.0,11625.2998,3173697478
28-08-20,11689.2998,11708.7998,11634.7998,11695.5996,2739094029
31-08-20,11718.7998,11829.7998,11697.4004,11775.5,3251485990
01-09-20,11851.0,11945.7002,11794.7998,11939.7002,3191368800
02-09-20,12047.2998,12074.0996,11836.2002,12056.4004,3588547022
03-09-20,11861.9004,11894.4004,11361.4004,11458.0996,3873372415
04-09-20,11396.2002,11531.2002,10875.9004,11313.0996,3667115489
08-09-20,10900.7002,11131.5,10837.2002,10847.7002,3411976480
09-09-20,11064.7998,11217.7002,10970.4004,11141.5996,3137274574
10-09-20,11235.5,11299.5,10875.0,10919.5996,3378174130
11-09-20,11010.0996,11033.0,10728.0,10853.5,3178063754
14-09-20,11010.0996,11118.2998,10982.2998,11056.7002,3398169928
15-09-20,11194.0,11244.5,11128.0,11190.2998,3440994773
16-09-20,11222.0996,11245.4004,11046.4004,11050.5,3292017922
17-09-20,10796.0,10974.5,10783.7998,10910.2998,3282218332
18-09-20,10973.4004,10977.7002,10640.0,10793.2998,5156485700
21-09-20,10610.0996,10782.7002,10519.5,10778.7998,3439847503
22-09-20,10873.2998,10979.5996,10737.5,10963.5996,3140100263
23-09-20,10950.7998,10962.0,10612.9004,10633.0,3606676966
24-09-20,10551.0,10799.5996,10520.2002,10672.2998,3554579911
25-09-20,10680.5,10939.5,10640.0,10913.5996,3366016167
28-09-20,11084.4004,11120.7998,11019.0996,11117.5,3196979011
29-09-20,11109.0,11153.2002,11065.5996,11085.2002,3050755356
30-09-20,11092.9004,11278.0,11092.9004,11167.5,3786001311
01-10-20,11292.0,11344.0996,11240.5,11326.5,3541143644
02-10-20,11082.5,11244.9004,11033.7002,11075.0,3246152484
05-10-20,11169.0996,11335.2002,11162.5,11332.5,3278827528
06-10-20,11314.5,11392.4004,11124.4004,11154.5996,3878930554
07-10-20,11271.7002,11380.5996,11258.2998,11364.5996,3513189995
08-10-20,11443.4004,11448.2002,11384.2998,11421.0,3199837815
09-10-20,11487.5996,11581.2002,11476.7002,11579.9004,3180929730
12-10-20,11732.2998,11965.5,11704.0996,11876.2998,3498671751
13-10-20,11901.7998,11947.0,11821.7998,11863.9004,3216867102
14-10-20,11889.0996,11939.9004,11714.4004,11768.7002,3044594974
15-10-20,11559.9004,11740.7002,11559.0996,11713.9004,2885300394
16-10-20,11761.7998,11827.4004,11648.5,11671.5996,2787472934
19-10-20,11732.2998,11778.0996,11454.5996,11478.9004,3093748035
20-10-20,11531.7998,11632.9004,11471.2002,11516.5,3140868520
21-10-20,11530.4004,11613.7998,11476.0996,11484.7002,3104900832
22-10-20,11527.0,11548.7998,11369.2998,11506.0,3029962091
23-10-20,11536.0,11548.7998,11434.9004,11548.2998,2866413126
26-10-20,11440.5996,11545.5996,11221.0996,11358.9004,2836425644
27-10-20,11409.2998,11465.0996,11361.9004,11431.4004,2742508514
28-10-20,11230.9004,11249.9004,10999.0996,11004.9004,3434814866
29-10-20,11064.5,11287.5996,11030.2002,11185.5996,2770447658
30-10-20,11103.5,11129.7998,10822.5996,10911.5996,3168653529
02-11-20,11010.4004,11071.0996,10830.9004,10957.5996,2797693021
03-11-20,11038.7002,11213.9004,11004.7998,11160.5996,2830955546
04-11-20,11443.7998,11663.2998,11394.2002,11590.7998,3092665742
05-11-20,11816.2998,11924.2998,11784.2002,11890.9004,3409458739
06-11-20,11869.9004,11920.5,11737.0996,11895.2002,3768641216
09-11-20,12046.7002,12108.0996,11703.5,11713.7998,5226508201
10-11-20,11622.4004,11665.9004,11424.5996,11553.9004,4196910435
11-11-20,11656.5996,11793.5996,11638.9004,11786.4004,3452018095
